Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,Street_Grvl,Street_Pave,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_AllPub,Utilities_NoSeWa,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Ex,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_N,PavedDrive_P,PavedDrive_Y,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,TotalSF,Age
11,20,3,70.0,11200,19,2,2,2,5,5,1965,1965,3,1,6,6,0.0,3,3,3,4,906,5,0,134,1040,1,0,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,1965.0,1,384,4,4,0,0,0,0,0,0,0,2,2008,129500,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2080,59
12,60,3,85.0,11924,16,2,2,5,9,5,2005,2006,3,1,14,15,286.0,0,3,3,2,998,5,0,177,1175,1,0,1,4,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,2005.0,3,736,4,4,147,21,0,0,0,0,0,7,2006,345000,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3499,19
13,20,3,69.0,12968,19,2,2,2,5,6,1962,1962,3,1,6,10,0.0,3,3,3,0,737,5,0,175,912,1,4,1,4,912,0,0,912,1,0,1,0,2,1,3,4,6,0,1962.0,1,352,4,4,140,0,0,0,176,0,0,9,2008,144000,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1824,62
14,20,3,91.0,10652,5,2,2,2,7,5,2006,2007,1,1,12,13,306.0,2,3,0,5,0,5,0,1494,1494,1,0,1,4,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,2006.0,3,840,4,4,160,33,0,0,0,0,0,8,2007,279500,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,2988,18
15,20,3,69.0,10920,12,2,2,2,6,5,1960,1960,3,1,8,8,212.0,3,3,3,1,733,5,0,520,1253,1,4,1,4,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,1960.0,1,352,4,4,0,213,176,0,0,0,0,5,2008,157000,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2506,64
16,45,4,51.0,6120,3,2,2,1,7,8,1929,2001,1,1,13,14,0.0,3,3,3,5,0,5,0,832,832,1,0,1,0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,1991.0,2,576,4,4,48,112,0,0,0,0,0,7,2007,132000,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1686,95
17,20,3,69.0,11241,12,2,2,2,6,7,1970,1970,1,1,13,14,180.0,3,3,3,0,578,5,0,426,1004,1,0,1,4,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,1970.0,2,480,4,4,0,0,0,0,0,0,700,3,2010,149000,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2008,54
18,90,3,72.0,10791,19,2,2,2,4,5,1967,1967,1,1,8,8,0.0,3,3,3,5,0,5,0,0,0,1,4,1,4,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,1967.0,2,516,4,4,0,0,0,0,0,0,500,10,2006,90000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1296,57
19,20,3,66.0,13695,20,5,2,2,5,5,2004,2004,1,1,12,13,0.0,3,3,3,2,646,5,0,468,1114,1,0,1,4,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,2004.0,2,576,4,4,0,102,0,0,0,0,0,6,2008,159000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2228,20
20,20,3,70.0,7560,12,2,2,2,5,6,1958,1965,3,1,3,10,0.0,3,3,3,3,504,5,0,525,1029,1,4,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,1958.0,1,294,4,4,0,0,0,0,0,0,0,5,2009,139000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2368,66
21,60,3,101.0,14215,16,2,2,5,8,5,2005,2006,1,1,12,13,380.0,0,3,0,5,0,5,0,1158,1158,1,0,1,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2005.0,3,853,4,4,240,154,0,0,0,0,0,11,2006,325300,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3534,19
22,45,4,57.0,7449,9,2,2,1,7,7,1930,1950,1,1,13,14,0.0,3,3,3,5,0,5,0,637,637,1,0,1,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,1930.0,1,280,4,4,0,0,205,0,0,0,0,6,2007,139400,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1745,94
23,20,3,75.0,9742,5,2,2,2,8,5,2002,2002,3,1,12,13,281.0,2,3,3,5,0,5,0,1777,1777,1,0,1,4,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2002.0,2,534,4,4,171,159,0,0,0,0,0,9,2008,230000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3572,22
24,120,4,44.0,4224,10,2,2,2,5,7,1976,1976,1,1,5,5,0.0,2,3,3,2,840,5,0,200,1040,1,4,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,1976.0,2,572,4,4,100,110,0,0,0,0,0,6,2007,129900,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2100,48
25,20,3,69.0,8246,19,2,2,2,5,8,1968,2001,1,1,9,10,0.0,3,3,2,4,188,0,668,204,1060,1,0,1,4,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,1968.0,1,270,4,4,406,90,0,0,0,0,0,5,2010,154000,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2120,56
26,20,3,110.0,14230,16,2,2,2,8,5,2007,2007,1,1,12,13,640.0,2,3,3,5,0,5,0,1566,1566,1,0,1,4,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,2007.0,3,890,4,4,0,56,0,0,0,0,0,7,2009,256300,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3166,17
27,20,3,60.0,7200,12,2,2,2,5,7,1951,2000,1,1,13,14,0.0,3,3,2,1,234,4,486,180,900,1,4,1,4,900,0,0,900,0,1,1,0,3,1,2,5,6,0,2005.0,2,576,4,4,222,32,0,0,0,0,0,5,2010,134800,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1800,73
28,20,3,98.0,11478,16,2,2,2,8,5,2007,2008,1,1,12,13,200.0,0,3,3,2,1218,5,0,486,1704,1,0,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2008.0,3,772,4,4,0,50,0,0,0,0,0,5,2010,306000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3408,17
29,20,3,47.0,16321,12,2,2,2,5,6,1957,1997,1,1,8,8,0.0,3,3,1,1,1277,5,0,207,1484,1,4,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,1957.0,1,319,4,4,288,258,0,0,0,0,0,12,2006,207500,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3084,67
30,30,4,60.0,6324,3,1,7,2,4,6,1927,1950,1,1,8,8,0.0,3,3,3,5,0,5,0,520,520,1,1,0,4,520,0,0,520,0,0,1,0,1,1,1,4,6,0,1920.0,1,240,1,4,49,0,87,0,0,0,0,5,2008,68500,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1040,97
31,70,0,50.0,8500,9,1,2,5,4,4,1920,1950,2,1,3,3,0.0,3,3,3,5,0,5,0,649,649,1,4,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,1920.0,1,250,4,1,0,54,172,0,0,0,0,7,2008,40000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1966,104
32,20,3,69.0,8544,19,2,2,2,5,6,1966,2006,1,1,6,6,0.0,3,3,3,5,0,5,0,1228,1228,1,2,1,4,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,1966.0,1,271,4,4,0,65,0,0,0,0,0,6,2008,149350,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2456,58
33,20,3,85.0,11049,5,2,2,2,8,5,2007,2007,1,1,12,13,0.0,0,3,0,5,0,5,0,1234,1234,1,0,1,4,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,2007.0,2,484,4,4,0,30,0,0,0,0,0,1,2008,179900,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2468,17
34,20,3,70.0,10552,12,2,2,2,5,5,1959,1959,3,1,3,3,0.0,3,3,3,4,1018,5,0,380,1398,1,2,1,4,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,1959.0,2,447,4,4,0,38,0,0,0,0,0,4,2010,165500,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3098,65
35,120,3,60.0,7313,16,2,2,2,9,5,2005,2005,3,1,8,8,246.0,0,3,3,2,1153,5,0,408,1561,1,0,1,4,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2005.0,2,556,4,4,203,47,0,0,0,0,0,8,2007,277500,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3122,19
36,60,3,108.0,13418,16,2,2,5,8,5,2004,2005,1,1,12,13,132.0,0,3,0,5,0,5,0,1117,1117,1,0,1,4,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,2004.0,3,691,4,4,113,32,0,0,0,0,0,9,2006,309000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3569,20
37,20,3,112.0,10859,5,2,2,2,5,5,1994,1995,1,1,12,13,0.0,2,3,3,5,0,5,0,1097,1097,1,0,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,1995.0,2,672,4,4,392,64,0,0,0,0,0,6,2009,145000,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2194,30
38,20,3,74.0,8532,12,2,2,2,5,6,1954,1990,3,1,13,14,650.0,3,3,3,4,1213,5,0,84,1297,1,2,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,1954.0,2,498,4,4,0,0,0,0,0,0,0,10,2009,153000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2594,70
39,20,3,68.0,7922,12,2,2,2,5,7,1953,2007,1,1,12,13,0.0,3,3,3,2,731,5,0,326,1057,1,4,1,4,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,1953.0,1,246,4,4,0,52,0,0,0,0,0,1,2010,109000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,2114,71
40,90,3,65.0,6040,7,2,2,2,4,5,1955,1955,1,1,0,10,0.0,3,3,3,5,0,5,0,0,0,1,4,0,2,1152,0,0,1152,0,0,2,0,2,2,1,6,6,0,1980.0,0,0,4,4,0,0,0,0,0,0,0,6,2008,82000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1152,69
41,20,3,84.0,8658,12,2,2,2,6,5,1965,1965,1,1,13,14,101.0,3,3,3,4,643,5,0,445,1088,1,0,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,1965.0,2,440,4,4,0,138,0,0,0,0,0,12,2006,160000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,2412,59
42,20,3,115.0,16905,23,2,2,2,5,6,1959,1959,1,1,12,13,0.0,3,3,1,1,967,5,0,383,1350,1,2,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,1959.0,1,308,4,4,0,104,0,0,0,0,0,7,2007,170000,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2678,65
43,85,3,69.0,9180,20,2,2,6,5,7,1983,1983,1,1,6,6,0.0,2,3,0,0,747,3,93,0,840,1,2,1,4,884,0,0,884,1,0,1,0,2,1,2,5,6,0,1983.0,2,504,4,2,240,0,0,0,0,0,0,12,2007,144000,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1724,41
