,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
5374,23,92,2,0,0,9,100,2,1,1,0,0,1,1,2,1,0,2,1,72
3380,33,60,0,0,0,8,85,1,1,4,1,1,1,0,3,0,1,2,1,68
2755,17,87,2,2,0,8,52,1,1,1,2,2,1,2,5,0,0,2,1,67
5898,20,91,0,2,0,7,74,2,1,1,2,2,1,1,4,0,1,1,1,69
113,35,99,0,0,1,7,85,1,1,2,2,0,0,1,2,0,2,2,0,79
5738,16,86,2,1,0,7,94,1,1,0,1,2,0,2,4,0,1,2,1,66
3301,14,83,2,0,1,8,88,1,1,0,0,2,1,0,2,1,1,1,1,65
1902,27,73,1,2,0,7,91,2,1,2,0,2,1,1,4,0,0,0,0,68
5525,16,90,2,0,1,5,100,1,1,1,0,2,0,0,4,0,1,1,1,69
74,4,100,0,0,1,8,60,0,1,0,2,0,0,2,4,0,0,1,1,69
4266,22,89,2,0,0,5,59,0,1,5,2,2,0,2,4,1,1,2,1,71
3088,8,73,2,0,1,10,54,2,1,2,2,2,1,2,3,0,1,2,1,63
786,25,69,0,2,1,7,56,2,1,2,1,2,0,1,4,0,1,2,1,67
6594,9,90,0,0,1,7,79,1,1,4,0,0,1,2,4,0,1,2,1,70
2598,27,95,2,0,0,8,88,0,1,3,2,2,0,2,2,0,1,0,0,74
6393,16,83,1,2,1,8,92,1,1,2,0,0,1,2,4,0,2,2,0,98
979,25,83,2,0,0,7,64,2,1,0,1,2,1,1,2,0,0,1,1,68
3168,19,65,2,1,1,6,96,2,1,2,2,0,0,1,2,0,2,2,1,65
4300,17,84,1,0,1,7,89,2,1,2,0,2,1,2,2,0,1,1,1,68
1366,20,70,2,0,1,6,92,2,1,2,2,1,1,2,3,0,1,2,1,67
494,29,92,2,2,1,10,63,0,1,1,1,0,0,0,4,0,1,1,1,71
4474,25,81,0,0,1,8,68,1,1,0,1,0,1,1,3,0,0,1,0,69
524,15,63,2,1,0,8,55,1,1,0,2,1,1,1,3,0,0,2,0,59
6450,18,69,1,1,1,10,89,1,1,2,1,0,1,1,1,1,1,1,1,61
4845,23,97,2,0,0,9,84,1,1,1,0,2,1,2,3,1,1,0,0,71
4899,24,69,2,1,1,6,69,2,1,0,1,0,0,1,4,0,0,2,1,65
3916,19,80,1,2,1,10,63,0,0,1,2,2,1,1,2,0,0,2,0,65
4950,21,93,2,1,0,6,64,2,1,2,1,2,1,2,4,0,2,1,1,69
324,14,96,2,1,1,9,69,0,1,0,2,2,0,0,3,1,0,2,0,66
3812,15,65,0,1,1,7,56,2,0,3,0,2,0,2,3,1,1,2,0,61
3379,16,61,0,2,0,4,54,1,1,1,1,2,0,1,2,0,1,2,0,60
5258,10,81,2,0,1,8,95,2,1,5,1,0,1,2,3,0,1,2,0,69
1989,23,91,0,2,1,6,89,2,1,3,2,2,0,0,3,0,2,2,1,73
5562,16,99,2,0,1,7,60,2,1,2,1,0,0,1,3,0,2,1,1,71
4441,21,67,2,2,1,9,77,2,1,3,0,1,1,1,3,0,0,1,0,66
5248,25,85,1,2,1,10,95,2,1,0,2,1,1,2,1,0,0,2,1,69
4887,30,88,2,2,1,7,68,1,1,1,2,0,1,2,3,0,0,2,0,72
478,38,86,1,0,1,7,79,1,1,3,1,2,1,0,3,0,1,2,1,73
4727,17,82,0,2,0,7,88,2,1,1,2,2,1,0,1,1,1,2,1,66
3691,25,85,2,2,0,8,58,2,1,2,2,0,1,1,4,0,0,2,1,70
2904,11,62,0,2,1,7,76,0,1,3,0,2,0,1,3,1,1,1,1,88
4152,21,98,2,2,1,8,72,2,1,3,1,1,1,2,3,0,1,1,0,71
5086,20,64,1,2,1,9,86,2,1,0,1,0,0,0,4,0,1,2,0,63
2464,25,71,2,2,1,5,98,1,1,0,1,2,1,2,1,0,2,0,1,66
1489,28,82,2,2,1,6,80,2,1,1,1,2,0,1,5,0,1,0,0,69
1707,31,89,2,2,0,7,70,2,1,2,1,0,1,2,2,0,1,1,0,71
3164,13,84,2,2,1,8,58,0,1,2,1,1,1,1,3,0,2,2,0,66
5345,30,67,2,2,0,7,97,0,1,2,0,2,1,1,3,1,1,2,1,69
3034,20,93,2,2,1,6,82,1,0,1,2,0,1,2,3,1,1,1,0,68
1908,13,62,1,2,1,6,90,2,0,3,0,0,0,1,3,1,2,2,0,62
